Host,Type,Min_Value,Max_Value
ca2,CPU,0.0,0.35
ca2,Memory,33.33,33.33
dev-p1-application,CPU,0.13,0.35
dev-p1-application,Memory,183.92,183.92
dev-p1-artifact,CPU,0.13,0.93
dev-p1-artifact,Memory,185.49,185.49
dev-p1-log,CPU,0.16,4.52
dev-p1-log,Memory,336.07,340.68
dev-p1-wrapper,CPU,0.11,1.32
dev-p1-wrapper,Memory,187.28,188.64
dev-p2-application,CPU,0.18,17.6
dev-p2-application,Memory,339.11,339.42
dev-p2-artifact,CPU,0.15,15.24
dev-p2-artifact,Memory,338.38,338.59
dev-p2-log,CPU,0.14,4.87
dev-p2-log,Memory,345.72,345.82
dev-p2-wrapper,CPU,0.11,5.39
dev-p2-wrapper,Memory,348.02,348.23
p1,CPU,2.89,17.24
p1,Memory,97.22,97.35
p2,CPU,2.7,26.36
p2,Memory,103.96,106.22
